Course Name,Link,Duration(Hr),Link_1
Data Engineering- Cloud Platform,https://hclcontent.percipio.com/track/ba1a6715-51e8-4001-ad4c-3be4330a19af,33,Percipio Track Data Engineering-Basic-Track
Data Engineering- Cloud Platform,https://hclcontent.percipio.com/track/9c0a21ed-30dd-4dce-8703-6cad184d0704,36,Percipio Track Data Engineering-Intermediate-AWS-Track
Data Engineering- Cloud Platform,https://hclcontent.percipio.com/track/6b527590-657d-4623-a8af-b80c5962282f,59,Percipio Track Data Engineering-Intermediate-Azure-Track
Data Engineering- Cloud Platform,https://hclcontent.percipio.com/track/593703ea-b36e-4434-9d2d-973734374558,76,Percipio Track Data Engineering-Advanced-Track
Data Architecture,https://hclcontent.percipio.com/channels/a11e7df4-c323-44c4-8688-22e09ba61511?tab=WATCH,7,Percipio Channel Architecting Data
Spark,Percipio Channel Apache Spark-2.4 &3.6,4,Percipio Channel Apache Spark-2.4 &3.6
ETL,https://hclcontent.percipio.com/courses/a8b7332a-4ebe-4a8d-9e62-821ea16f95c9/videos/ac0de726-b9f3-4279-adee-fbd9e61d443a,1,Percipio Course Traditional Data Architectures: Data Warehousing and ETL Systems
SQL,https://hclcontent.percipio.com/journey/ba668d51-ae2c-4e49-8dbe-62c825e91d64,12,Percipio Journey Oracle SQL
Airflow,https://hclcontent.percipio.com/courses/255e43d0-353e-11e9-b20a-d52e3fc6a66f/videos/4d8a8940-353e-11e9-b20a-d52e3fc6a66f,1,Percipio Course Building Data Pipelines
Azure Databricks,https://hclcontent.percipio.com/courses/20b67a11-f7d2-4345-9ca2-f1c05949ed08/videos/507622bc-d17e-4221-aeb1-c23543265f62,1,Percipio Course Data Engineering on Microsoft Azure: Databricks
Azure Architecture,https://hclcontent.percipio.com/channels/a2783630-e196-11e6-93f3-0242c0a80605/view/40f981e3-f22f-4110-abaf-5ebe9a231844?tab=WATCH,18,Percipio Channel Azure Architecture
Azure Data Engg Associate,,28,Percipio Channel Microsoft Certified: Azure Data Engineer Associate
PySpark,https://hclcontent.percipio.com/books/33c9a75a-7cfd-429c-8f23-564dd03dda24,8,Percipio Book Data Analysis with Python and PySpark
Hadoop,https://hclcontent.percipio.com/channels/e274f360-e199-11e6-93f3-0242c0a80605?tab=WATCH,10,Percipio Channel Apache Hadoop-2.9
Hadoop & Hive,https://hclcontent.percipio.com/books/7139026c-1482-4fd3-9d6a-0f1edf541394,2.5,Percipio Book Big Data Using Hadoop and Hive
Snowflake,https://hclcontent.percipio.com/journey/0f621358-89a6-46d7-ad63-a6b43acfe26b,22,Percipio Journey Data Analytics with Snowflake
Snowflake,https://hclcontent.percipio.com/channels/eeafff43-be95-4e0e-823e-eaeb682eff75?tab=WATCH,16,Percipio Channel Snowflake-Basic & Inermediate
Power BI,https://hclcontent.percipio.com/journey/cbbc0c34-e7de-45ec-ac7b-59ce7bec5068,57,Percipio Journey DBS - Power BI
Power BI,https://hclcontent.percipio.com/journey/43702a2c-3146-40bb-b84b-c8d7ace700fd,26,Percipio
Tableau,https://hclcontent.percipio.com/journey/3fad08c7-9e74-405b-8af1-a0f406f1dc7d,23,Percipio Journey DBS - Tableau
GCP,https://hclcontent.percipio.com/channels/62ad1441-12ff-11e7-822f-df9d5d5ce619/view/606455ce-cc2c-4fc8-afac-2546658e6c61?tab=WATCH,25,Percipio Channel Google Cloud
AzureML,https://hclcontent.percipio.com/courses/b3aa0a4c-85b4-4f6f-a5ce-b5f431d990c0/videos/bbd7b295-dee6-4c56-a9f5-079cc00eeb86,2,Percipio Course Azure AI Fundamentals: Machine Learning with Azure Services
GCP Data Engineer,,22,Percipio Channel Google Data Engineer
AWS,https://hclcontent.percipio.com/journey/82c2df5c-63ed-4e80-b77c-d0da69e23bec,26,Percipio Journey Cloud AWS
Scala,https://hclcontent.percipio.com/channels/06f8c5d1-1314-11e7-822f-df9d5d5ce619?tab=WATCH,9,Percipio Channel Scala
Data Science,https://hclcontent.percipio.com/channels/d2a136e5-552d-4010-81cb-d77b1d598922?tab=WATCH,20,Percipio Channel Data Science for Managers Bootcamp
